attempt_id,sentence_id,voice,original_text,spoken_text,kind,component,from,to,position,score,stt_text
287,30,ko-KR-InJoonNeural,빗소리가 들린다,빗소리가 들린나,perturbed,choseong,ㄷ,ㄴ,7,100,빗소리가 들린다.
288,31,ko-KR-InJoonNeural,부엌문을 닫았다,부엌문을 닫았다,normal,,,,,100,부엉문을 닫았다.
289,31,ko-KR-InJoonNeural,부엌문을 닫았다,부엌믄을 닫았다,perturbed,jungseong,ㅜ,ㅡ,2,100,부엉문을 닫았다.
290,31,ko-KR-InJoonNeural,부엌문을 닫았다,부엌몬을 닫았다,perturbed,jungseong,ㅜ,ㅗ,2,100,부엉문을 닫았다.
291,32,ko-KR-InJoonNeural,값비싼 옷을 샀다,값비싼 옷을 샀다,normal,,,,,100,값비싼 옷을 샀다
292,32,ko-KR-InJoonNeural,값비싼 옷을 샀다,값부싼 옷을 샀다,perturbed,jungseong,ㅣ,ㅜ,1,81,갓불산 옷을 샀다
293,32,ko-KR-InJoonNeural,값비싼 옷을 샀다,값비싼 옷을 샀타,perturbed,choseong,ㄷ,ㅌ,8,100,값비싼 옷을 샅다
294,33,ko-KR-InJoonNeural,닭고기를 볶아 먹었다,닭고기를 볶아 먹었다,normal,,,,,100,닭고기를 볶아 먹었다.
295,33,ko-KR-InJoonNeural,닭고기를 볶아 먹었다,닭고기를 볶아 멈었다,perturbed,jongseong,ㄱ,ㅁ,8,93,닭고기를 볶아 머묻다.
296,33,ko-KR-InJoonNeural,닭고기를 볶아 먹었다,듥고기를 볶아 먹었다,perturbed,jungseong,ㅏ,ㅡ,0,89,들고기를 볶아 먹었다.
